CorrectAnswer1,CorrectAnswer2,Experiment,Frame,FrameAnswered,IsCorrect1,IsCorrect2,NumFrames,NumRows,NumShapes,PreempAllowed,TimeSpentOnFrame,TimeToAnswer1FromBegin,TrialName,UserAnswer1,UserAnswer2,UserComment,WorkerID,[Shape Color Radius Position]
yes,4,1,1,5,incorrect,incorrect,5,3,15,no,0.822,1.926,target_X>Y_|X|_T_a,no,10,asdf,AKNUFN5YQTVHG,[s r 0.04 1] [s g 0.04 2] [s k 0.04 3]
yes,4,1,2,5,incorrect,incorrect,5,3,15,no,0.145,1.926,target_X>Y_|X|_T_a,no,10,asdf,AKNUFN5YQTVHG,[s r 0.04 5] [s g 0.04 4] [s y 0.04 8]
yes,4,1,3,5,incorrect,incorrect,5,3,15,no,0.118,1.926,target_X>Y_|X|_T_a,no,10,asdf,AKNUFN5YQTVHG,[s y 0.04 6] [s y 0.04 9] [s g 0.04 11]
yes,4,1,4,5,incorrect,incorrect,5,3,15,no,0.168,1.926,target_X>Y_|X|_T_a,no,10,asdf,AKNUFN5YQTVHG,[s r 0.04 7] [s y 0.04 10] [s y 0.04 13]
yes,4,1,5,5,incorrect,incorrect,5,3,15,no,0.672,1.926,target_X>Y_|X|_T_a,no,10,asdf,AKNUFN5YQTVHG,[s r 0.04 12] [s y 0.04 14] [s y 0.04 15]
no,4,1,1,5,correct,incorrect,5,3,15,no,0.159,1.312,target_X>Y_|X|_F_a,no,10,asdf,AKNUFN5YQTVHG,[s b 0.04 2] [s w 0.04 1] [s k 0.04 5]
no,4,1,2,5,correct,incorrect,5,3,15,no,0.153,1.312,target_X>Y_|X|_F_a,no,10,asdf,AKNUFN5YQTVHG,[s y 0.04 3] [s w 0.04 6] [s b 0.04 9]
no,4,1,3,5,correct,incorrect,5,3,15,no,0.144,1.312,target_X>Y_|X|_F_a,no,10,asdf,AKNUFN5YQTVHG,[s b 0.04 4] [s w 0.04 8] [s k 0.04 7]
no,4,1,4,5,correct,incorrect,5,3,15,no,0.151,1.312,target_X>Y_|X|_F_a,no,10,asdf,AKNUFN5YQTVHG,[s y 0.04 10] [s b 0.04 11] [s w 0.04 12]
no,4,1,5,5,correct,incorrect,5,3,15,no,0.704,1.312,target_X>Y_|X|_F_a,no,10,asdf,AKNUFN5YQTVHG,[s y 0.04 13] [s w 0.04 14] [s y 0.04 15]
yes,7,1,1,5,incorrect,incorrect,5,3,15,no,0.127,1.288,target_X>Y_|Z|_T_a,no,10,asdf,AKNUFN5YQTVHG,[s b 0.04 1] [s w 0.04 2] [s r 0.04 3]
yes,7,1,2,5,incorrect,incorrect,5,3,15,no,0.144,1.288,target_X>Y_|Z|_T_a,no,10,asdf,AKNUFN5YQTVHG,[s b 0.04 5] [s w 0.04 4] [s b 0.04 8]
yes,7,1,3,5,incorrect,incorrect,5,3,15,no,0.128,1.288,target_X>Y_|Z|_T_a,no,10,asdf,AKNUFN5YQTVHG,[s k 0.04 6] [s w 0.04 9] [s w 0.04 11]
yes,7,1,4,5,incorrect,incorrect,5,3,15,no,0.28,1.288,target_X>Y_|Z|_T_a,no,10,asdf,AKNUFN5YQTVHG,[s r 0.04 7] [s w 0.04 10] [s b 0.04 13]
yes,7,1,5,5,incorrect,incorrect,5,3,15,no,0.608,1.288,target_X>Y_|Z|_T_a,no,10,asdf,AKNUFN5YQTVHG,[s w 0.04 12] [s w 0.04 14] [s r 0.04 15]
